"TargetWord","Sentence"
"actuación","Los jueces le otorgaron un premio especial que dan cada año a la mejor actuación en la calle."
"agujero","El fontanero le clavó una tabla que consiguió en su camioneta al agujero debajo del lavamanos."
"alma","Según la leyenda el demonio le arrebató la felicidad que tanto deseaba al alma que subía al cielo."
"amiga","La muchacha le contó el secreto que había guardado a su amiga de la escuela."
"arbitro","La organización de fútbol le dio el premio que había creado al árbitro por su arduo trabajo."
"ascensor","El hombre le colocó el anuncio que imprimió al ascensor antes de irse del edificio."
"avestruz","El granjero le quitó el huevo que vio en el nido a la avestruz antes de irse de la granja."
"barrio","El policía le devolvió la paz que había buscado por tanto tiempo al barrio con la captura de los ladrones."
"báscula","El arquitecto le puso la base que diseñó a la báscula antes de mostrasela a su jefe."
"belleza","Los romanos le dedicaban un tributo que organizaban todos los años a la belleza de la mujer."
"bibliotecario","Mis hijos le hicieron las preguntas que habían estado pensando al bibliotecario después de que él terminó de hablar."
"biombo","El técnico le clavó las varas nuevas que recibió ayer al biombo que separa el comedor de la sala."
"bistec","El hombre le añadió unas especias que compró en el mercado al bistec antes de cocinarlo."
"bragueta","La costurera le quería coser unas florecillas que había comprado a la bragueta de la chaqueta de su hija."
"cabalgata","El anfitrión del evento festivo le donó algunas carrozas antiguas que tenía a la cabalgata del pueblito."
"caballo","El hombre le puso la silla de montar que diseñó al caballo para ajustarla."
"cabellera","La mujer le agregó el color que había preparado a su cabellera mientras estaba en la ducha."
"cabrito","El papá le puso las especias que había mezclado previamente al cabrito antes de cocinarlo."
"cachorro","La niña le dio el juguete que había comprado a su cachorro después de que él se sentó y esperó pacientemente."
"calcetines","El soldado le cosió los parches que había comprado en el centro comercial a los calcetines en el cajón."
"castigo","Las monjas le incluyeron el trabajo que no habían completado al castigo de las chicas."
"chispa","La instructora le tiró unas gotas de agua que tenía en una botella a la chispa del cigarillo."
"ciegos","El millonario le dio el dinero que había estado ahorrado a los ciegos para ayudarlos."
"cinta","La modista le puso unos adornos que había diseñado a la cinta del vestido de novia."
"ciruelas","El fotógrafo le añadió un poco de brillantina que había comprado a las ciruela para hacerlas ver más apetitosas."
"congelador","La niña le pegó el dibujo que había hecho en el colegio al congelador en el sótano."
"corbata","El comentarista le quitó la mancha de vino que notó a la corbata antes del programa."
"crecimiento","Durante la reunión los médicos le pusieron los límites que estipularon necesarios al crecimiento del hospital."
"cuaderno","La mamá le pegó la etiqueta que había completado al cuaderno que estaba en la mesa."
"cueva","El eletricista le instaló las luces que compró ayer a la cueva detrás de las ruina romanas."
"despacho","El hombre le puso los muebles que compró en la tienda ayer en su despacho del primer piso."
"duendes","El ogro mostró el anillo que estaba protegiendo a los duendes que lo estaban escondiendo."
"duraznos","Mi madre le añadió la crema pastelera que había preparado a los duraznos antes de ponerlos en el horno."
"edificio","El arquitecto le añadio los últimos detalles que había soñado al edificio un mes antes de que lo abrieran."
"encargado","El pintor le regaló un cuadro que había pintado en su tiempo libre al encargado que lo ayuda."
"encuesta","La maestra le borró las preguntas que no había escrito a la encuesta para los estudiantes."
"escalerilla","El técnico le puso el tornillo que encontró ayer a la escalerilla del avión."
"escritura","El escribano le puso los acentos que había visto que faltaban a la escritura de la casa."
"espuma","El camarero le pasó una cuchara que tenía detrás de la barra a la espuma de la cerveza."
"extranjeros","La oficina de alquiler de autos le dió un GPS que tenía a los extranjeros para que no se fueran a perder."
"fiesta","La junta directiva le agregó algunas restricciones que consideró importartes a la fiesta de fin de año."
"folio","El contable le hizo unas correcciones que consideró necesarias al folio que le entregó su socio."
"guardabosques","Los niños le enseñaron la leña que habían cortado al guardabosques que estaba en la cabaña."
"harina","El cocinero le añadió la cantidad de agua que leyó en la receta a la harina para preparar la masa."
"herida","La vendedora le aplicó un desinfectante que tenía en su bolso a la herida que se hizo moviendo unas cajas."
"hermanastro","El hombre le tiró una silla que cogió en el comedor a su hermanastro y después se escapó."
"hierro","El geólogo le añadió el estaño que había fundido en su taller al hierro para conseguir acero."
"huéspedes","El conserje del hotel le ofreció las entradas de fútbol que había recibido recientemente a los huéspedes después de derramar el  jarrón con agua encima de ellos."
"impresora","La secretaria le cambió el cartucho que compró en la tienda a la impresora antes de irse a su casa."
"laca","La bailarina le puso la tapa que había perdido el día anterior a la laca después de maquillarse."
"lavado","La señora le agregó los cordones que tenía en sus zapatillas al lavado de la ropa de su hija."
"lomo","El nadador le quitó la grasa que no quería cocinar al lomo que compró en la carnicería."
"manejo","El piloto le añadió la experiencia que había adquirido durante muchos años al manejo del avión supersónico."
"mendigo","El cura le dio un trozo de pan que tenía en su mochila al mendigo en la calle."
"muro","El hombre le añadió algunos ladrillos que recogió ayer al muro de la casa que estaba construyendo."
"niñez","El governador le dedicó un tributo que había organizado con sus amigos a la niñez del fundador de la universidad."
"niños","El papá le dio la merienda que calentó en el microondas a los niños antes del partido."
"papa","El cocinero le puso una salsa picante que cocinó con su amigo a la papa que iba a hornear."
"perro","La actriz le trajo un collar con diamantes que compró en la joyería a su perro después de su viaje."
"pescadora","El hombre le dió una langosta que sacó de una caja a la pescadora para que la pesara."
"postre","La repostera le colocó unas flores que había visto en una revista al postre que preparó para el evento."
"primavera","La mujer le attribuyó la causa de las alergías que tiene a la primavera y sus flores."
"torre","El architecto le pegó unas piezas de marmol que había lijado a la torre para poder restaurarla."
"viajero","El gitano le vendió una ramita de romero que cortó del árbol al viajero que paseaba por la plaza."
