"TargetWord","Sentence"
"actuación","La niña que quiere ser artista recibió un premio por su actuación en el acto escolar."
"agujero","El astrónomo que trabajaba en el observatorio en Houston tenía un agujero en la chaqueta."
"alma","El cura que da la misa los domingos salvó el alma de todos los pecadores la semana pasada."
"amiga","La mujer que fue contratada por la compañia era amiga del ejecutivo que vivió en Panamá."
"arbitro","El hombre que disfruta cuando hace ejercicio decidió convertirse en arbitro después de haber visto un partido de fútbol."
"ascensor","El agente que odiaba la actividad física llamó el ascensor para ir al primer piso."
"avestruz","La guía que visitó varias ciudades en Australia preparó un avestruz en la cocina."
"barrio","El vecino que vivía en el sexto piso del edificio adornó el barrio para los festejos."
"báscula","La enfermera que tenía una hora libre después de su almuerzo limpió la báscula en el laboratorio."
"belleza","El público que asistió al desfile de moda reconoció la belleza de la modelo de Rumanía."
"bibliotecario","La mujer que necesitaba un libro detuvo al bibliotecario para hacerle una pregunta."
"biombo","La maestra que quería decorar la habitación de su nueva casa compró un biombo el viernes."
"bistec","El fontanero que tenía tres hijos en la universidad preparó un bistec con verdura."
"bragueta","El portero que jugaba al fútbol en el colegio cosió la bragueta de los pantalones antes del partido."
"cabalgata","El escritor que llegó ayer a Madrid vio la cabalgata desde el balcón con sus amigos."
"caballo","El chico que quiere ser veterinario quería comprar un caballo con el dinero de su cuenta de ahorros."
"cabellera","La niña que es gimnasta olímpica no quiere cortarse la cabellera a pesar de que está muy larga."
"cabrito","Mi hijo que come carne dijo que su amiga compró cabrito para el picnic."
"cachorro","La zanahoria que el granjero recogió ese día golpeó al cachorro haciéndolo geñir."
"calcetines","La limpiadora que necesitaba ropa para su trabajo pidió unos calcetines por internet."
"castigo","La nadadora que comió dulces y galletas recibió un castigo de la entrenadora antes de la competición."
"chispa","El hombre que había tomado un curso sobre supervivencia creó la chispa para empezar el fuego."
"ciegos","El perro que era muy dulce cuidaba a los ciegos para mantenerlos fuera de peligro."
"cinta","La hermana que es muy meticulosa compró una cinta para el velo de la novia."
"ciruelas","El hombre que prepara mermeladas hizo un puré de ciruelas y lo puso a cocinar."
"congelador","La abuela que había ganado la lotería compró un congelador para su casa nueva."
"corbata","El hombre de negocios que vestía muy bien compró una corbata en la tienda al lado de su casa."
"crecimiento","El zoólogo que hacía experimentos con monos frenó su crecimiento con el compuesto que había preparado."
"cuaderno","El chico que vive cerca de mi casa compró un cuaderno para tomar apuntes en un paseo."
"cueva","El historiador que estaba grabando un programa de TV investigó la cueva antes de empezar la grabación."
"despacho","El hombre que es muy inteligente pero desordenado limpió el despacho antes de que llegara su amigo."
"duendes","La historia que el niño estaba leyendo involucraba un grupo de duendes que estaban tratando de salvar el mundo de los gnomos malos."
"duraznos","La pequeña niña que llevaba su vestido favorito comió duraznos en el auto de camino a casa."
"edificio","El hombre de negocios que trabajaba arduamente vió el edificio mientras lo estaban demoliendo."
"encargado","El ministro que volvió de sus vacaciones en Italia despidió al encargado por haber sido incompetente."
"encuesta","El estudiante que participó en un experimento devolvió la encuesta para el estudio en un sobre."
"escalerilla","El pintor que trabajaba para mi padre por las mañanas sacó la escalerilla de la camioneta."
"escritura","El abogado que tramitaba la compra del edificio mandó la escritura al ayuntamiento desde la oficina de correos."
"espuma","La señora que estaba lavando los platos se quitó la espuma de las manos antes de contestar el puerta"
"extranjeros","El país que fue formado hace diez años prohibió que los extranjeros se convirtieran en residentes."
"fiesta","El escritor que estaba concentrado en su nuevo libro no oyó la fiesta en el parque."
"folio","El entrenado que gritaba con fuerza durante el partido rompió el folio con sus anotaciones."
"guardabosques","El oficial de policia que visitó el parque arrestó al guardabosques que era sospechoso de robar un banco."
"harina","El tartero que tenía una pastelería en la ciudad tiró la harina por la calle principal para protestar."
"herida","El luchador que derrotó al campeón del mundo cubrió su herida con una venda después de la pelea."
"hermanastro","El médico que bebió demasiadas cervezas en el bar hirió a su hermanastro en una pelea."
"hierro","El jinete que ganó la ultima carrera del Kentucky Derby compró hierro para su establo."
"huéspedes","La mujer que mantiene su casa muy limpia persuadió los huéspedes a que se quitaran los zapatos antes de entrar."
"impresora","El representante que alquiló un coche en el aeropuerto arregló la impresora para la empresa."
"laca","La estilista que tiene una tienda en el centro vende laca y otros productos para el cabello."
"lavado","El estudiante que tenía muchos quehaceres completó el lavado con suavizante antes de volver a casa."
"lomo","El piloto que dio una celebración en su casa compró el mejor lomo y jamón que vendían en la tienda."
"manejo","La ayudante que está encargada de preparar las pizzas aprendió el correcto manejo de la máquina para hacer masas."
"mendigo","La monja que había perdido la cabeza atacó al mendigo en la cocina durante Acción de Gracias."
"muro","El  jurado que había escuchado el caso por tres días consecutivos miraba hacia el muro cuando declaró que necesitaba un descanso."
"niñez","El bombero que estaba en peligro dentro del edificio recordó su niñez al salvar al recién nacido."
"niños","El hombre que vive por aquí cerca tiene tres hijos que lo siguen por dónde quiera que va."
"papa","La cocinera que prerara guisos compró una papa en el mercado para hacer la cena."
"perro","El inquilino que ama los animales siempre peina a su perro con un cepillo de cerda natural."
"pescadora","El conductor que tenía el día libre por las vacaciones llamó a la pescadora para salir."
"postre","El dietista que celebró su cumpleaños con sus amigos preparó un postre para la cena."
"primavera","El adolescente que estaba enamorado de una amiga esperó la llegada de la primavera para declararle su amor."
"torre","El camarero que corría todas las mañanas llegó a la torre en menos de una hora."
"viajero","La actriz que amaba su trabajo más que nada invitó al viajero a una copa de vino."
